order_id,date,customer_id,product_id,product,product_category,price,quantity,coupon_code,discount_pct,payment_method,shipping_city,shipping_province,sales_amount
ON100762,03/01/2025,C11886,P2378,Lip Balm,Beauty,63.41,6,NO_COUPON,0,Credit Card,London,ON,380.46
ON100888,03/01/2025,C10858,P1339,Air Fryer,Home & Kitchen,55.39,5,WELCOME5,5,Interac,Guelph,ON,263.1
ON100375,04/01/2025,C12057,P8749,Coffee Maker,Home & Kitchen,81.91,3,NO_COUPON,0,Credit Card,Hamilton,ON,245.73
ON100459,04/01/2025,C10823,P9067,Baseball Cap,Apparel,93.35,3,NO_COUPON,0,Debit Card,Vaughan,ON,280.05
ON100833,04/01/2025,C10951,P1044,Cereal,Grocery,14.4,3,NO_COUPON,0,Credit Card,Scarborough,ON,43.2
ON100834,04/01/2025,C10123,P1692,Olive Oil,Grocery,9.2,2,NO_COUPON,0,Mobile Wallet,Toronto,ON,18.4
ON100102,05/01/2025,C10634,P7884,Power Bank,Electronics,206.19,3,WELCOME5,5,Credit Card,Toronto,ON,587.64
ON100568,05/01/2025,C11354,P2757,Coffee Beans,Grocery,16.79,2,SAVE10,10,Debit Card,Scarborough,ON,30.22
ON100697,05/01/2025,C11862,P3401,Knife Set,Home & Kitchen,14.66,1,FREESHIP,0,PayPal,Guelph,ON,14.66
ON100298,07/01/2025,C11683,P2811,Dumbbells,Sports,153.1,1,NO_COUPON,0,Mobile Wallet,Kitchener,ON,153.1
ON100779,08/01/2025,C10701,P6290,Power Bank,Electronics,195.11,4,NO_COUPON,0,Credit Card,London,ON,780.44
ON100789,08/01/2025,C11864,P1630,Lip Balm,Beauty,55.81,2,WELCOME5,5,Debit Card,Brampton,ON,106.04
ON100404,09/01/2025,C10081,P2237,Cereal,Grocery,7.36,3,SAVE10,10,Debit Card,Toronto,ON,19.87
ON100827,09/01/2025,C12207,P2656,Dumbbells,Sports,21.49,3,NO_COUPON,0,Credit Card,Waterloo,ON,64.47
ON100877,10/01/2025,C11194,P9812,Pasta,Grocery,7.63,5,NO_COUPON,0,Mobile Wallet,London,ON,38.15
ON100409,11/01/2025,C10186,P8699,Wireless Mouse,Electronics,19.72,2,FREESHIP,0,Interac,London,ON,39.44
ON100472,11/01/2025,C11519,P1927,Granola Bars,Grocery,6.43,4,NO_COUPON,0,PayPal,Ottawa,ON,25.72
ON100229,12/01/2025,C10690,P7852,Water Bottle,Home & Kitchen,58.07,3,NO_COUPON,0,PayPal,Scarborough,ON,174.21
ON100533,13/01/2025,C10487,P9908,Body Lotion,Beauty,16.65,3,WELCOME5,5,Debit Card,Cambridge,ON,47.45
