order_id,date,customer_id,product_id,product,product_category,price,quantity,coupon_code,discount_pct,payment_method,shipping_city,shipping_province,sales_amount,coupon_discount_pct,gross_revenue,net_revenue,days_since_purchase
ON100762,2025-03-01,C11886,P2378,Lip Balm,Beauty,63.41,6.0,NO_COUPON,0,Credit Card,London,ON,380.46,0.0,380.46,380.46,647
ON100888,2025-03-01,C10858,P1339,Air Fryer,Home & Kitchen,55.39,5.0,WELCOME5,5,Interac,Guelph,ON,263.1,5.0,276.95,263.10249999999996,647
ON100375,2025-04-01,C12057,P8749,Coffee Maker,Home & Kitchen,81.91,3.0,NO_COUPON,0,Credit Card,Hamilton,ON,245.73,0.0,245.73,245.73,616
ON100459,2025-04-01,C10823,P9067,Baseball Cap,Apparel,93.35,3.0,NO_COUPON,0,Debit Card,Vaughan,ON,280.05,0.0,280.04999999999995,280.04999999999995,616
ON100833,2025-04-01,C10951,P1044,Cereal,Grocery,14.4,3.0,NO_COUPON,0,Credit Card,Scarborough,ON,43.2,0.0,43.2,43.2,616
ON100834,2025-04-01,C10123,P1692,Olive Oil,Grocery,9.2,2.0,NO_COUPON,0,Mobile Wallet,Toronto,ON,18.4,0.0,18.4,18.4,616
ON100102,2025-05-01,C10634,P7884,Power Bank,Electronics,206.19,3.0,WELCOME5,5,Credit Card,Toronto,ON,587.64,5.0,618.5699999999999,587.6415,586
ON100568,2025-05-01,C11354,P2757,Coffee Beans,Grocery,16.79,2.0,SAVE10,10,Debit Card,Scarborough,ON,30.22,10.0,33.58,30.221999999999998,586
ON100697,2025-05-01,C11862,P3401,Knife Set,Home & Kitchen,14.66,1.0,FREESHIP,0,PayPal,Guelph,ON,14.66,0.0,14.66,14.66,586
ON100298,2025-07-01,C11683,P2811,Dumbbells,Sports,153.1,1.0,NO_COUPON,0,Mobile Wallet,Kitchener,ON,153.1,0.0,153.1,153.1,525
ON100779,2025-08-01,C10701,P6290,Power Bank,Electronics,195.11,4.0,NO_COUPON,0,Credit Card,London,ON,780.44,0.0,780.44,780.44,494
ON100789,2025-08-01,C11864,P1630,Lip Balm,Beauty,55.81,2.0,WELCOME5,5,Debit Card,Brampton,ON,106.04,5.0,111.62,106.039,494
ON100404,2025-09-01,C10081,P2237,Cereal,Grocery,7.36,3.0,SAVE10,10,Debit Card,Toronto,ON,19.87,10.0,22.080000000000002,19.872000000000003,463
ON100827,2025-09-01,C12207,P2656,Dumbbells,Sports,21.49,3.0,NO_COUPON,0,Credit Card,Waterloo,ON,64.47,0.0,64.47,64.47,463
ON100877,2025-10-01,C11194,P9812,Pasta,Grocery,7.63,5.0,NO_COUPON,0,Mobile Wallet,London,ON,38.15,0.0,38.15,38.15,433
ON100409,2025-11-01,C10186,P8699,Wireless Mouse,Electronics,19.72,2.0,FREESHIP,0,Interac,London,ON,39.44,0.0,39.44,39.44,402
ON100472,2025-11-01,C11519,P1927,Granola Bars,Grocery,6.43,4.0,NO_COUPON,0,PayPal,Ottawa,ON,25.72,0.0,25.72,25.72,402
ON100229,2025-12-01,C10690,P7852,Water Bottle,Home & Kitchen,58.07,3.0,NO_COUPON,0,PayPal,Scarborough,ON,174.21,0.0,174.21,174.21,372
ON100577,2025-01-02,C12050,P4973,Body Lotion,Beauty,70.6,3.0,SAVE15,15,PayPal,Waterloo,ON,180.03,15.0,211.79999999999998,180.02999999999997,705
ON100836,2025-01-02,C12065,P6307,Storage Bin,Home & Kitchen,80.07,6.0,NO_COUPON,0,Credit Card,Toronto,ON,480.42,0.0,480.41999999999996,480.41999999999996,705
